vessel_key,identity_basis,name,imo,mmsi,operator,ais_type,type_label,length_m,width_m,gross_tonnage,dimension_quality,size_band_reliable,existing_cruise_classification,candidate_classification,confidence_score,classification_reasons,exclusion_reasons,total_estimated_co2_tonnes,latest_month_estimated_co2_tonnes,observation_count,active_days,first_observed,latest_observed
IMO:9100437,IMO,THE BLUE DOLPHIN,9100437,567002940,,Passenger ship,Passenger ship,137,21,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,0,0,23,2,2026-07-01T15:15:23.312Z,2026-07-02T14:48:22.687Z
IMO:9101754,IMO,MEXICO V,9101754,345110005,,Passenger ship,Passenger ship,40,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,28.723,28.723,18,2,2026-07-01T13:30:19.605Z,2026-07-02T13:49:04.003Z
IMO:9102992,IMO,AEGEAN MAJESTY,9102992,305008300,,Passenger ship,Passenger ship,220,31,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,0,0,13,2,2026-07-01T13:18:45.010Z,2026-07-02T14:43:17.893Z
IMO:9103764,IMO,SEA STAR RHODES,9103764,511100115,,Passenger ship,Passenger ship,24,8,0,RELIABLE,24_39_99_m,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,0,0,18,1,2026-07-01T16:35:50.292Z,2026-07-01T18:03:10.705Z
IMO:9103881,IMO,MARTHA'S VINEYARD,9103881,367376740,,Passenger ship,Passenger ship,66,18,0,RELIABLE,40_79_99_m,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,100.246,100.246,155,2,2026-07-01T13:57:27.493Z,2026-07-02T14:49:48.672Z
IMO:9104005,IMO,Grand Princess,9104005,310327000,Princess Cruises,Ocean cruise ship,Ocean cruise ship,0,0,0,MISSING,unknown_length,VERIFIED_OCEAN_CRUISE / HIGH / ACCEPT,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Ocean cruise ship,already verified as an accepted ocean/expedition cruise vessel,87.416,87.416,72,1,2026-07-10T06:19:02.972Z,2026-07-10T09:49:35.176Z
IMO:9104835,IMO,RHAPSODY,9104835,247362600,,Passenger ship,Passenger ship,172,30,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,15.146,15.146,46,1,2026-07-01T13:23:39.444Z,2026-07-01T17:51:05.808Z
IMO:9106297,IMO,MARELLA EXPLORER,9106297,249051000,,Passenger ship,Passenger ship,262,32,0,IMPLAUSIBLE,unknown_length,VERIFIED_OCEAN_CRUISE / HIGH / ACCEPT,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship,already verified as an accepted ocean/expedition cruise vessel; commercial passenger/cruise scale or classification detected; dimensions are implausible for a yacht analysis,496.747,496.747,429,5,2026-07-01T13:51:55.555Z,2026-07-10T10:09:14.381Z
IMO:9106302,IMO,MARELLA VOYAGER,9106302,249053000,,Passenger ship,Passenger ship,264,36,0,IMPLAUSIBLE,unknown_length,VERIFIED_OCEAN_CRUISE / HIGH / ACCEPT,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship,already verified as an accepted ocean/expedition cruise vessel; commercial passenger/cruise scale or classification detected; dimensions are implausible for a yacht analysis,414.585,414.585,159,6,2026-07-01T13:31:16.790Z,2026-07-10T00:39:34.503Z
IMO:9107370,IMO,ANE LAESOE,9107370,219000734,,Passenger ship,Passenger ship,54,15,0,RELIABLE,40_79_99_m,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,35.874,35.874,23,2,2026-07-01T13:31:09.773Z,2026-07-02T14:35:39.385Z
